secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-50,0.593379,2513.407,187.6787,0.03679,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-55,0.576906,2564.159,212.9991,0.035366,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-60,0.5615,2614.072,240.5201,0.034311,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-65,0.547189,2664.246,270.9422,0.033337,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-70,0.534428,2716.253,305.5606,0.032504,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-75,0.525229,2773.389,347.5495,0.034717,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-80,0.525727,2844.474,405.7671,0.04903,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-85,0.542733,2946.271,496.6082,0.073815,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,25-Mar-20,P,1,30,64881510,SPX,9999,32768,,A,,-90,0.571589,3097.525,637.7634,0.094465,0,0,0,0.07,0.19,0.34,0.41,0.56,0.77,0.88,1.45,2475.56
108105,26-Mar-20,C,1,30,64881510,SPX,9999,32768,,A,,90,0.625879,2125.183,530.5076,0.031091,0.01,0.01,0,0.04,0.13,0.3,0.36,0.51,0.72,0.83,1.42,2630.07
